# Source Data for Fig. 7a: independent leakage model, k1 = k2 = k = 1
# Recomputed from the closed forms in the paper, not from the co-author's code.
# Input state alpha = sqrt(0.6), beta = sqrt(0.4).
time,gamma,expected_holevo_bits,eve_fidelity
3.380,0.1,0.0320346621,0.9727861897
3.390,0.1,0.0317165136,0.9729129275
3.400,0.1,0.0314015189,0.9730383773
3.410,0.1,0.0310896468,0.9731625524
3.420,0.1,0.0307808664,0.9732854659
3.430,0.1,0.0304751472,0.9734071310
3.440,0.1,0.0301724589,0.9735275607
3.450,0.1,0.0298727717,0.9736467676
3.460,0.1,0.0295760558,0.9737647644
3.470,0.1,0.0292822819,0.9738815637
3.480,0.1,0.0289914210,0.9739971778
3.490,0.1,0.0287034442,0.9741116190
3.500,0.1,0.0284183232,0.9742248993
3.510,0.1,0.0281360295,0.9743370309
3.520,0.1,0.0278565353,0.9744480255
3.530,0.1,0.0275798130,0.9745578948
3.540,0.1,0.0273058351,0.9746666506
3.550,0.1,0.0270345745,0.9747743042
3.560,0.1,0.0267660043,0.9748808670
3.570,0.1,0.0265000980,0.9749863503
3.580,0.1,0.0262368291,0.9750907652
3.590,0.1,0.0259761717,0.9751941227
3.600,0.1,0.0257180999,0.9752964337
3.610,0.1,0.0254625881,0.9753977089
3.620,0.1,0.0252096110,0.9754979591
3.630,0.1,0.0249591436,0.9755971947
3.640,0.1,0.0247111609,0.9756954261
3.650,0.1,0.0244656386,0.9757926638
3.660,0.1,0.0242225521,0.9758889179
3.670,0.1,0.0239818774,0.9759841986
3.680,0.1,0.0237435907,0.9760785157
3.690,0.1,0.0235076683,0.9761718793
3.700,0.1,0.0232740868,0.9762642991
3.710,0.1,0.0230428231,0.9763557847
3.720,0.1,0.0228138542,0.9764463458
3.730,0.1,0.0225871574,0.9765359919
3.740,0.1,0.0223627103,0.9766247323
3.750,0.1,0.0221404905,0.9767125764
3.760,0.1,0.0219204761,0.9767995332
3.770,0.1,0.0217026452,0.9768856119
3.780,0.1,0.0214869761,0.9769708215
3.790,0.1,0.0212734475,0.9770551708
3.800,0.1,0.0210620382,0.9771386688
3.810,0.1,0.0208527272,0.9772213240
3.820,0.1,0.0206454938,0.9773031452
3.830,0.1,0.0204403173,0.9773841408
3.840,0.1,0.0202371774,0.9774643193
3.850,0.1,0.0200360540,0.9775436890
3.860,0.1,0.0198369270,0.9776222582
3.870,0.1,0.0196397767,0.9777000351
