# Source Data for Fig. 7d: correlated leakage model, gamma = 0.5, k = 1
# Recomputed from the closed forms in the paper, not from the co-author's code.
# Input state alpha = sqrt(0.6), beta = sqrt(0.4).
time,mu,expected_holevo_bits,eve_fidelity
0.700,0.0,0.3949398912,0.7777295492
0.710,0.0,0.3912299120,0.7799829058
0.720,0.0,0.3875524966,0.7822047904
0.730,0.0,0.3839074071,0.7843956955
0.740,0.0,0.3802944064,0.7865561050
0.750,0.0,0.3767132579,0.7886864944
0.760,0.0,0.3731637259,0.7907873313
0.770,0.0,0.3696455752,0.7928590752
0.780,0.0,0.3661585716,0.7949021777
0.790,0.0,0.3627024817,0.7969170827
0.800,0.0,0.3592770726,0.7989042266
0.810,0.0,0.3558821125,0.8008640383
0.820,0.0,0.3525173705,0.8027969396
0.830,0.0,0.3491826164,0.8047033449
0.840,0.0,0.3458776209,0.8065836616
0.850,0.0,0.3426021558,0.8084382904
0.860,0.0,0.3393559936,0.8102676249
0.870,0.0,0.3361389078,0.8120720524
0.880,0.0,0.3329506730,0.8138519534
0.890,0.0,0.3297910647,0.8156077021
0.900,0.0,0.3266598594,0.8173396664
0.910,0.0,0.3235568345,0.8190482080
0.920,0.0,0.3204817686,0.8207336825
0.930,0.0,0.3174344413,0.8223964395
0.940,0.0,0.3144146330,0.8240368229
0.950,0.0,0.3114221256,0.8256551707
0.960,0.0,0.3084567017,0.8272518152
0.970,0.0,0.3055181452,0.8288270834
0.980,0.0,0.3026062411,0.8303812966
0.990,0.0,0.2997207752,0.8319147709
1.000,0.0,0.2968615348,0.8334278170
1.010,0.0,0.2940283082,0.8349207406
1.020,0.0,0.2912208846,0.8363938423
1.030,0.0,0.2884390548,0.8378474177
1.040,0.0,0.2856826103,0.8392817573
1.050,0.0,0.2829513440,0.8406971473
1.060,0.0,0.2802450500,0.8420938686
1.070,0.0,0.2775635233,0.8434721979
1.080,0.0,0.2749065603,0.8448324072
1.090,0.0,0.2722739586,0.8461747640
1.100,0.0,0.2696655168,0.8474995315
1.110,0.0,0.2670810349,0.8488069684
1.120,0.0,0.2645203139,0.8500973294
1.130,0.0,0.2619831562,0.8513708649
1.140,0.0,0.2594693652,0.8526278212
1.150,0.0,0.2569787456,0.8538684407
1.160,0.0,0.2545111033,0.8550929618
1.170,0.0,0.2520662454,0.8563016190
1.180,0.0,0.2496439803,0.8574946430
1.190,0.0,0.2472441174,0.8586722608
1.200,0.0,0.2448664676,0.8598346956
