# Source Data for Fig. 6a: Holevo quantity vs damping parameter
# Recomputed from the closed forms in the paper, not from the co-author's code.
gamma,alpha_sq,chi_bits
0.6720,0.10,0.2173558753
0.6740,0.10,0.2191615998
0.6760,0.10,0.2209900415
0.6780,0.10,0.2228412708
0.6800,0.10,0.2247153598
0.6820,0.10,0.2266123814
0.6840,0.10,0.2285324103
0.6860,0.10,0.2304755220
0.6880,0.10,0.2324417938
0.6900,0.10,0.2344313041
0.6920,0.10,0.2364441327
0.6940,0.10,0.2384803611
0.6960,0.10,0.2405400718
0.6980,0.10,0.2426233492
0.7000,0.10,0.2447302787
0.7020,0.10,0.2468609478
0.7040,0.10,0.2490154450
0.7060,0.10,0.2511938607
0.7080,0.10,0.2533962867
0.7100,0.10,0.2556228167
0.7120,0.10,0.2578735458
0.7140,0.10,0.2601485709
0.7160,0.10,0.2624479906
0.7180,0.10,0.2647719052
0.7200,0.10,0.2671204169
0.7220,0.10,0.2694936297
0.7240,0.10,0.2718916493
0.7260,0.10,0.2743145835
0.7280,0.10,0.2767625420
0.7300,0.10,0.2792356364
0.7320,0.10,0.2817339802
0.7340,0.10,0.2842576894
0.7360,0.10,0.2868068815
0.7380,0.10,0.2893816766
0.7400,0.10,0.2919821968
0.7420,0.10,0.2946085665
0.7440,0.10,0.2972609122
0.7460,0.10,0.2999393631
0.7480,0.10,0.3026440505
0.7500,0.10,0.3053751082
0.7520,0.10,0.3081326725
0.7540,0.10,0.3109168823
0.7560,0.10,0.3137278790
0.7580,0.10,0.3165658068
0.7600,0.10,0.3194308125
0.7620,0.10,0.3223230460
0.7640,0.10,0.3252426596
0.7660,0.10,0.3281898090
0.7680,0.10,0.3311646525
0.7700,0.10,0.3341673518
0.7720,0.10,0.3371980716
0.7740,0.10,0.3402569800
0.7760,0.10,0.3433442481
0.7780,0.10,0.3464600507
0.7800,0.10,0.3496045661
0.7820,0.10,0.3527779759
0.7840,0.10,0.3559804658
0.7860,0.10,0.3592122249
0.7880,0.10,0.3624734464
0.7900,0.10,0.3657643275
0.7920,0.10,0.3690850694
0.7940,0.10,0.3724358776
0.7960,0.10,0.3758169618
0.7980,0.10,0.3792285363
0.8000,0.10,0.3826708200
0.8020,0.10,0.3861440365
0.8040,0.10,0.3896484141
0.8060,0.10,0.3931841864
0.8080,0.10,0.3967515919
0.8100,0.10,0.4003508746
0.8120,0.10,0.4039822838
0.8140,0.10,0.4076460746
0.8160,0.10,0.4113425079
0.8180,0.10,0.4150718507
0.8200,0.10,0.4188343759
0.8220,0.10,0.4226303631
0.8240,0.10,0.4264600986
0.8260,0.10,0.4303238752
0.8280,0.10,0.4342219931
0.8300,0.10,0.4381547597
0.8320,0.10,0.4421224900
0.8340,0.10,0.4461255067
0.8360,0.10,0.4501641408
0.8380,0.10,0.4542387318
0.8400,0.10,0.4583496276
0.8420,0.10,0.4624971855
0.8440,0.10,0.4666817718
0.8460,0.10,0.4709037630
0.8480,0.10,0.4751635453
0.8500,0.10,0.4794615157
0.8520,0.10,0.4837980819
0.8540,0.10,0.4881736631
0.8560,0.10,0.4925886903
0.8580,0.10,0.4970436068
0.8600,0.10,0.5015388688
0.8620,0.10,0.5060749456
0.8640,0.10,0.5106523209
0.8660,0.10,0.5152714926
0.8680,0.10,0.5199329738
0.8700,0.10,0.5246372937
0.8720,0.10,0.5293849980
0.8740,0.10,0.5341766497
0.8760,0.10,0.5390128302
0.8780,0.10,0.5438941399
0.8800,0.10,0.5488211990
0.8820,0.10,0.5537946491
0.8840,0.10,0.5588151535
0.8860,0.10,0.5638833989
0.8880,0.10,0.5690000964
0.8900,0.10,0.5741659827
0.8920,0.10,0.5793818218
0.8940,0.10,0.5846484060
0.8960,0.10,0.5899665582
0.8980,0.10,0.5953371329
0.9000,0.10,0.6007610185
0.9020,0.10,0.6062391394
0.9040,0.10,0.6117724578
0.9060,0.10,0.6173619764
0.9080,0.10,0.6230087407
0.9100,0.10,0.6287138422
0.9120,0.10,0.6344784208
0.9140,0.10,0.6403036687
0.9160,0.10,0.6461908337
0.9180,0.10,0.6521412235
0.9200,0.10,0.6581562093
0.9220,0.10,0.6642372316
0.9240,0.10,0.6703858045
0.9260,0.10,0.6766035224
0.9280,0.10,0.6828920656
0.9300,0.10,0.6892532083
0.9320,0.10,0.6956888258
0.9340,0.10,0.7022009042
0.9360,0.10,0.7087915497
0.9380,0.10,0.7154630003
0.9400,0.10,0.7222176385
0.9420,0.10,0.7290580053
0.9440,0.10,0.7359868173
0.9460,0.10,0.7430069847
0.9480,0.10,0.7501216331
0.9500,0.10,0.7573341285
0.9520,0.10,0.7646481057
0.9540,0.10,0.7720675023
0.9560,0.10,0.7795965976
0.9580,0.10,0.7872400598
0.9600,0.10,0.7950030007
0.9620,0.10,0.8028910430
0.9640,0.10,0.8109104003
0.9660,0.10,0.8190679761
0.9680,0.10,0.8273714850
0.9700,0.10,0.8358296053
0.9720,0.10,0.8444521717
0.9740,0.10,0.8532504234
0.9760,0.10,0.8622373289
0.9780,0.10,0.8714280196
0.9800,0.10,0.8808403814
0.9820,0.10,0.8904958847
0.9840,0.10,0.9004207868
0.9860,0.10,0.9106479403
0.9880,0.10,0.9212196499
0.9900,0.10,0.9321924659
0.9920,0.10,0.9436459107
0.9940,0.10,0.9557002638
0.9960,0.10,0.9685596136
0.9980,0.10,0.9826533914
1.0000,0.10,1.0000000000
0.0000,0.20,1.0000000000
0.0020,0.20,0.9858630706
0.0040,0.20,0.9743026445
0.0060,0.20,0.9637229792
0.0080,0.20,0.9537842733
0.0100,0.20,0.9443249298
0.0120,0.20,0.9352496538
0.0140,0.20,0.9264954044
0.0160,0.20,0.9180173261
0.0180,0.20,0.9097818451
0.0200,0.20,0.9017628744
0.0220,0.20,0.8939395536
0.0240,0.20,0.8862948163
0.0260,0.20,0.8788144385
0.0280,0.20,0.8714863806
0.0300,0.20,0.8643003193
0.0320,0.20,0.8572473035
0.0340,0.20,0.8503194970
0.0360,0.20,0.8435099819
0.0380,0.20,0.8368126060
0.0400,0.20,0.8302218612
0.0420,0.20,0.8237327880
0.0440,0.20,0.8173408965
0.0460,0.20,0.8110421030
0.0480,0.20,0.8048326769
0.0500,0.20,0.7987091966
0.0520,0.20,0.7926685131
0.0540,0.20,0.7867077178
0.0560,0.20,0.7808241165
0.0580,0.20,0.7750152064
0.0600,0.20,0.7692786562
0.0620,0.20,0.7636122892
0.0640,0.20,0.7580140683
0.0660,0.20,0.7524820830
0.0680,0.20,0.7470145380
0.0700,0.20,0.7416097431
0.0720,0.20,0.7362661041
0.0740,0.20,0.7309821149
0.0760,0.20,0.7257563505
0.0780,0.20,0.7205874605
0.0800,0.20,0.7154741635
0.0820,0.20,0.7104152419
0.0840,0.20,0.7054095373
0.0860,0.20,0.7004559461
0.0880,0.20,0.6955534163
0.0900,0.20,0.6907009430
0.0920,0.20,0.6858975663
0.0940,0.20,0.6811423679
0.0960,0.20,0.6764344683
0.0980,0.20,0.6717730248
0.1000,0.20,0.6671572290
0.1020,0.20,0.6625863049
0.1040,0.20,0.6580595068
0.1060,0.20,0.6535761179
0.1080,0.20,0.6491354484
0.1100,0.20,0.6447368341
0.1120,0.20,0.6403796349
0.1140,0.20,0.6360632339
0.1160,0.20,0.6317870358
0.1180,0.20,0.6275504658
0.1200,0.20,0.6233529689
0.1220,0.20,0.6191940086
0.1240,0.20,0.6150730662
0.1260,0.20,0.6109896397
0.1280,0.20,0.6069432434
0.1300,0.20,0.6029334068
0.1320,0.20,0.5989596740
0.1340,0.20,0.5950216030
0.1360,0.20,0.5911187655
0.1380,0.20,0.5872507455
0.1400,0.20,0.5834171396
0.1420,0.20,0.5796175559
0.1440,0.20,0.5758516138
0.1460,0.20,0.5721189434
0.1480,0.20,0.5684191853
0.1500,0.20,0.5647519897
0.1520,0.20,0.5611170166
0.1540,0.20,0.5575139350
0.1560,0.20,0.5539424228
0.1580,0.20,0.5504021662
0.1600,0.20,0.5468928597
0.1620,0.20,0.5434142057
0.1640,0.20,0.5399659140
0.1660,0.20,0.5365477018
0.1680,0.20,0.5331592933
0.1700,0.20,0.5298004194
0.1720,0.20,0.5264708177
0.1740,0.20,0.5231702320
0.1760,0.20,0.5198984124
0.1780,0.20,0.5166551148
0.1800,0.20,0.5134401007
0.1820,0.20,0.5102531373
0.1840,0.20,0.5070939971
0.1860,0.20,0.5039624578
0.1880,0.20,0.5008583020
0.1900,0.20,0.4977813173
0.1920,0.20,0.4947312960
0.1940,0.20,0.4917080349
0.1960,0.20,0.4887113353
0.1980,0.20,0.4857410027
0.2000,0.20,0.4827968468
0.2020,0.20,0.4798786815
0.2040,0.20,0.4769863246
0.2060,0.20,0.4741195974
0.2080,0.20,0.4712783254
0.2100,0.20,0.4684623373
0.2120,0.20,0.4656714656
0.2140,0.20,0.4629055460
0.2160,0.20,0.4601644177
0.2180,0.20,0.4574479231
0.2200,0.20,0.4547559076
0.2220,0.20,0.4520882198
0.2240,0.20,0.4494447113
0.2260,0.20,0.4468252365
0.2280,0.20,0.4442296528
0.2300,0.20,0.4416578202
0.2320,0.20,0.4391096015
0.2340,0.20,0.4365848620
0.2360,0.20,0.4340834698
0.2380,0.20,0.4316052953
0.2400,0.20,0.4291502113
0.2420,0.20,0.4267180932
0.2440,0.20,0.4243088186
0.2460,0.20,0.4219222674
0.2480,0.20,0.4195583217
0.2500,0.20,0.4172168657
0.2520,0.20,0.4148977859
0.2540,0.20,0.4126009707
0.2560,0.20,0.4103263107
0.2580,0.20,0.4080736983
0.2600,0.20,0.4058430280
0.2620,0.20,0.4036341961
0.2640,0.20,0.4014471008
0.2660,0.20,0.3992816420
0.2680,0.20,0.3971377217
0.2700,0.20,0.3950152432
0.2720,0.20,0.3929141119
0.2740,0.20,0.3908342347
0.2760,0.20,0.3887755201
0.2780,0.20,0.3867378783
0.2800,0.20,0.3847212209
0.2820,0.20,0.3827254614
0.2840,0.20,0.3807505145
