# Source Data for Fig. 7c: burst leakage model, k1 = k2 = k = 1
# Recomputed from the closed forms in the paper, not from the co-author's code.
# Input state alpha = sqrt(0.6), beta = sqrt(0.4).
time,gamma,expected_holevo_bits,eve_fidelity
1.090,0.2,0.2772316603,0.8144400692
1.100,0.2,0.2744731592,0.8160248192
1.110,0.2,0.2717421056,0.8175938008
1.120,0.2,0.2690382265,0.8191471707
1.130,0.2,0.2663612514,0.8206850843
1.140,0.2,0.2637109127,0.8222076954
1.150,0.2,0.2610869452,0.8237151563
1.160,0.2,0.2584890867,0.8252076177
1.170,0.2,0.2559170774,0.8266852289
1.180,0.2,0.2533706599,0.8281481376
1.190,0.2,0.2508495797,0.8295964901
1.200,0.2,0.2483535847,0.8310304312
1.210,0.2,0.2458824252,0.8324501045
1.220,0.2,0.2434358542,0.8338556517
1.230,0.2,0.2410136270,0.8352472135
1.240,0.2,0.2386155013,0.8366249290
1.250,0.2,0.2362412374,0.8379889360
1.260,0.2,0.2338905978,0.8393393709
1.270,0.2,0.2315633475,0.8406763688
1.280,0.2,0.2292592537,0.8420000633
1.290,0.2,0.2269780860,0.8433105869
1.300,0.2,0.2247196163,0.8446080705
1.310,0.2,0.2224836188,0.8458926439
1.320,0.2,0.2202698698,0.8471644356
1.330,0.2,0.2180781480,0.8484235728
1.340,0.2,0.2159082341,0.8496701814
1.350,0.2,0.2137599113,0.8509043860
1.360,0.2,0.2116329646,0.8521263100
1.370,0.2,0.2095271815,0.8533360757
1.380,0.2,0.2074423512,0.8545338040
1.390,0.2,0.2053782653,0.8557196148
1.400,0.2,0.2033347174,0.8568936265
1.410,0.2,0.2013115032,0.8580559566
1.420,0.2,0.1993084202,0.8592067213
1.430,0.2,0.1973252683,0.8603460358
1.440,0.2,0.1953618491,0.8614740138
1.450,0.2,0.1934179662,0.8625907683
1.460,0.2,0.1914934253,0.8636964109
1.470,0.2,0.1895880339,0.8647910522
1.480,0.2,0.1877016014,0.8658748016
1.490,0.2,0.1858339393,0.8669477676
1.500,0.2,0.1839848607,0.8680100573
1.510,0.2,0.1821541807,0.8690617771
1.520,0.2,0.1803417164,0.8701030321
1.530,0.2,0.1785472863,0.8711339264
1.540,0.2,0.1767707111,0.8721545631
1.550,0.2,0.1750118132,0.8731650444
1.560,0.2,0.1732704165,0.8741654712
1.570,0.2,0.1715463471,0.8751559436
1.580,0.2,0.1698394324,0.8761365606
1.590,0.2,0.1681495018,0.8771074203
1.600,0.2,0.1664763863,0.8780686198
1.610,0.2,0.1648199186,0.8790202552
1.620,0.2,0.1631799330,0.8799624217
1.630,0.2,0.1615562655,0.8808952135
1.640,0.2,0.1599487538,0.8818187238
1.650,0.2,0.1583572371,0.8827330451
1.660,0.2,0.1567815563,0.8836382687
1.670,0.2,0.1552215538,0.8845344851
1.680,0.2,0.1536770735,0.8854217841
1.690,0.2,0.1521479611,0.8863002543
1.700,0.2,0.1506340636,0.8871699836
1.710,0.2,0.1491352296,0.8880310589
1.720,0.2,0.1476513093,0.8888835664
1.730,0.2,0.1461821542,0.8897275913
1.740,0.2,0.1447276174,0.8905632180
1.750,0.2,0.1432875536,0.8913905301
1.760,0.2,0.1418618186,0.8922096102
1.770,0.2,0.1404502699,0.8930205404
1.780,0.2,0.1390527664,0.8938234018
1.790,0.2,0.1376691682,0.8946182745
1.800,0.2,0.1362993371,0.8954052381
1.810,0.2,0.1349431361,0.8961843712
1.820,0.2,0.1336004294,0.8969557519
1.830,0.2,0.1322710829,0.8977194572
1.840,0.2,0.1309549637,0.8984755635
1.850,0.2,0.1296519400,0.8992241464
1.860,0.2,0.1283618817,0.8999652808
1.870,0.2,0.1270846596,0.9006990408
1.880,0.2,0.1258201461,0.9014254998
1.890,0.2,0.1245682147,0.9021447304
1.900,0.2,0.1233287403,0.9028568045
1.910,0.2,0.1221015988,0.9035617933
1.920,0.2,0.1208866676,0.9042597674
1.930,0.2,0.1196838252,0.9049507965
