# Source Data for Fig. 7b: sequential leakage model, k1 = k2 = k = 1
# Recomputed from the closed forms in the paper, not from the co-author's code.
# Input state alpha = sqrt(0.6), beta = sqrt(0.4).
time,gamma,expected_holevo_bits,eve_fidelity
4.630,0.0,0.0536072909,0.9770568066
4.640,0.0,0.0531676609,0.9772464644
4.650,0.0,0.0527314722,0.9774346194
4.660,0.0,0.0522987000,0.9776212829
4.670,0.0,0.0518693193,0.9778064658
4.680,0.0,0.0514433056,0.9779901791
4.690,0.0,0.0510206344,0.9781724337
4.700,0.0,0.0506012812,0.9783532405
4.710,0.0,0.0501852220,0.9785326102
4.720,0.0,0.0497724327,0.9787105536
4.730,0.0,0.0493628894,0.9788870813
4.740,0.0,0.0489565684,0.9790622037
4.750,0.0,0.0485534461,0.9792359315
4.760,0.0,0.0481534990,0.9794082750
4.770,0.0,0.0477567040,0.9795792446
4.780,0.0,0.0473630379,0.9797488505
4.790,0.0,0.0469724776,0.9799171030
4.800,0.0,0.0465850004,0.9800840121
4.810,0.0,0.0462005836,0.9802495881
4.820,0.0,0.0458192047,0.9804138408
4.830,0.0,0.0454408411,0.9805767803
4.840,0.0,0.0450654708,0.9807384163
4.850,0.0,0.0446930715,0.9808987588
4.860,0.0,0.0443236214,0.9810578174
4.870,0.0,0.0439570986,0.9812156018
4.880,0.0,0.0435934814,0.9813721216
4.890,0.0,0.0432327483,0.9815273864
4.900,0.0,0.0428748779,0.9816814056
4.910,0.0,0.0425198490,0.9818341888
4.920,0.0,0.0421676404,0.9819857451
4.930,0.0,0.0418182311,0.9821360839
4.940,0.0,0.0414716004,0.9822852144
4.950,0.0,0.0411277275,0.9824331459
4.960,0.0,0.0407865918,0.9825798873
4.970,0.0,0.0404481730,0.9827254477
4.980,0.0,0.0401124507,0.9828698361
4.990,0.0,0.0397794048,0.9830130614
5.000,0.0,0.0394490152,0.9831551325
0.000,0.1,0.8899796402,0.5000000000
0.010,0.1,0.8893679718,0.5014101779
0.020,0.1,0.8886803627,0.5028403489
0.030,0.1,0.8879183845,0.5042899754
0.040,0.1,0.8870835855,0.5057585288
0.050,0.1,0.8861774902,0.5072454888
0.060,0.1,0.8852016001,0.5087503438
0.070,0.1,0.8841573937,0.5102725903
0.080,0.1,0.8830463274,0.5118117334
0.090,0.1,0.8818698349,0.5133672861
0.100,0.1,0.8806293283,0.5149387694
0.110,0.1,0.8793261979,0.5165257124
0.120,0.1,0.8779618128,0.5181276516
0.130,0.1,0.8765375211,0.5197441317
0.140,0.1,0.8750546499,0.5213747046
0.150,0.1,0.8735145061,0.5230189299
0.160,0.1,0.8719183761,0.5246763744
0.170,0.1,0.8702675266,0.5263466123
0.180,0.1,0.8685632046,0.5280292248
0.190,0.1,0.8668066377,0.5297238005
0.200,0.1,0.8649990342,0.5314299345
0.210,0.1,0.8631415837,0.5331472291
0.220,0.1,0.8612354572,0.5348752934
0.230,0.1,0.8592818072,0.5366137429
0.240,0.1,0.8572817681,0.5383621998
0.250,0.1,0.8552364567,0.5401202931
0.260,0.1,0.8531469717,0.5418876576
0.270,0.1,0.8510143948,0.5436639350
0.280,0.1,0.8488397903,0.5454487728
0.290,0.1,0.8466242059,0.5472418249
0.300,0.1,0.8443686723,0.5490427509
0.310,0.1,0.8420742038,0.5508512169
0.320,0.1,0.8397417986,0.5526668943
0.330,0.1,0.8373724388,0.5544894606
0.340,0.1,0.8349670907,0.5563185990
0.350,0.1,0.8325267051,0.5581539983
0.360,0.1,0.8300522174,0.5599953527
0.370,0.1,0.8275445479,0.5618423620
0.380,0.1,0.8250046018,0.5636947315
0.390,0.1,0.8224332698,0.5655521715
0.400,0.1,0.8198314279,0.5674143977
0.410,0.1,0.8171999378,0.5692811310
0.420,0.1,0.8145396472,0.5711520974
0.430,0.1,0.8118513898,0.5730270278
0.440,0.1,0.8091359854,0.5749056581
0.450,0.1,0.8063942404,0.5767877289
0.460,0.1,0.8036269479,0.5786729860
0.470,0.1,0.8008348877,0.5805611794
0.480,0.1,0.7980188268,0.5824520641
0.490,0.1,0.7951795190,0.5843453996
0.500,0.1,0.7923177060,0.5862409500
0.510,0.1,0.7894341166,0.5881384837
0.520,0.1,0.7865294675,0.5900377736
0.530,0.1,0.7836044633,0.5919385968
0.540,0.1,0.7806597967,0.5938407348
0.550,0.1,0.7776961486,0.5957439733
0.560,0.1,0.7747141881,0.5976481020
0.570,0.1,0.7717145733,0.5995529148
0.580,0.1,0.7686979506,0.6014582095
0.590,0.1,0.7656649554,0.6033637879
0.600,0.1,0.7626162123,0.6052694559
0.610,0.1,0.7595523349,0.6071750229
0.620,0.1,0.7564739263,0.6090803022
0.630,0.1,0.7533815789,0.6109851110
0.640,0.1,0.7502758750,0.6128892700
0.650,0.1,0.7471573864,0.6147926034
0.660,0.1,0.7440266752,0.6166949393
0.670,0.1,0.7408842932,0.6185961090
0.680,0.1,0.7377307827,0.6204959474
0.690,0.1,0.7345666762,0.6223942928
0.700,0.1,0.7313924969,0.6242909867
0.710,0.1,0.7282087585,0.6261858741
0.720,0.1,0.7250159654,0.6280788032
0.730,0.1,0.7218146130,0.6299696253
0.740,0.1,0.7186051878,0.6318581949
0.750,0.1,0.7153881674,0.6337443698
0.760,0.1,0.7121640208,0.6356280104
0.770,0.1,0.7089332081,0.6375089806
0.780,0.1,0.7056961812,0.6393871470
0.790,0.1,0.7024533838,0.6412623791
0.800,0.1,0.6992052511,0.6431345494
0.810,0.1,0.6959522104,0.6450035332
0.820,0.1,0.6926946809,0.6468692086
0.830,0.1,0.6894330740,0.6487314562
0.840,0.1,0.6861677933,0.6505901597
0.850,0.1,0.6828992350,0.6524452051
0.860,0.1,0.6796277874,0.6542964813
0.870,0.1,0.6763538318,0.6561438796
0.880,0.1,0.6730777418,0.6579872940
0.890,0.1,0.6697998842,0.6598266206
0.900,0.1,0.6665206185,0.6616617585
0.910,0.1,0.6632402971,0.6634926088
0.920,0.1,0.6599592658,0.6653190753
0.930,0.1,0.6566778635,0.6671410638
0.940,0.1,0.6533964223,0.6689584826
0.950,0.1,0.6501152681,0.6707712424
