# Source Data for Fig. 6b: Holevo quantity vs input-state amplitude
# Recomputed from the closed forms in the paper, not from the co-author's code.
alpha_sq,gamma,chi_bits
0.4360,0.40,0.5863734990
0.4380,0.40,0.5886198146
0.4400,0.40,0.5908626171
0.4420,0.40,0.5931018947
0.4440,0.40,0.5953376351
0.4460,0.40,0.5975698264
0.4480,0.40,0.5997984562
0.4500,0.40,0.6020235124
0.4520,0.40,0.6042449825
0.4540,0.40,0.6064628541
0.4560,0.40,0.6086771148
0.4580,0.40,0.6108877520
0.4600,0.40,0.6130947531
0.4620,0.40,0.6152981054
0.4640,0.40,0.6174977961
0.4660,0.40,0.6196938123
0.4680,0.40,0.6218861412
0.4700,0.40,0.6240747697
0.4720,0.40,0.6262596849
0.4740,0.40,0.6284408735
0.4760,0.40,0.6306183223
0.4780,0.40,0.6327920181
0.4800,0.40,0.6349619475
0.4820,0.40,0.6371280969
0.4840,0.40,0.6392904530
0.4860,0.40,0.6414490021
0.4880,0.40,0.6436037305
0.4900,0.40,0.6457546245
0.4920,0.40,0.6479016701
0.4940,0.40,0.6500448535
0.4960,0.40,0.6521841607
0.4980,0.40,0.6543195775
0.5000,0.40,0.6564510898
0.5020,0.40,0.6585786833
0.5040,0.40,0.6607023436
0.5060,0.40,0.6628220564
0.5080,0.40,0.6649378071
0.5100,0.40,0.6670495811
0.5120,0.40,0.6691573637
0.5140,0.40,0.6712611401
0.5160,0.40,0.6733608954
0.5180,0.40,0.6754566146
0.5200,0.40,0.6775482827
0.5220,0.40,0.6796358846
0.5240,0.40,0.6817194049
0.5260,0.40,0.6837988284
0.5280,0.40,0.6858741395
0.5300,0.40,0.6879453228
0.5320,0.40,0.6900123626
0.5340,0.40,0.6920752432
0.5360,0.40,0.6941339487
0.5380,0.40,0.6961884633
0.5400,0.40,0.6982387709
0.5420,0.40,0.7002848553
0.5440,0.40,0.7023267003
0.5460,0.40,0.7043642897
0.5480,0.40,0.7063976068
0.5500,0.40,0.7084266353
0.5520,0.40,0.7104513584
0.5540,0.40,0.7124717593
0.5560,0.40,0.7144878212
0.5580,0.40,0.7164995272
0.5600,0.40,0.7185068600
0.5620,0.40,0.7205098026
0.5640,0.40,0.7225083375
0.5660,0.40,0.7245024474
0.5680,0.40,0.7264921147
0.5700,0.40,0.7284773217
0.5720,0.40,0.7304580506
0.5740,0.40,0.7324342836
0.5760,0.40,0.7344060026
0.5780,0.40,0.7363731896
0.5800,0.40,0.7383358261
0.5820,0.40,0.7402938938
0.5840,0.40,0.7422473742
0.5860,0.40,0.7441962487
0.5880,0.40,0.7461404985
0.5900,0.40,0.7480801047
0.5920,0.40,0.7500150483
0.5940,0.40,0.7519453100
0.5960,0.40,0.7538708707
0.5980,0.40,0.7557917108
0.6000,0.40,0.7577078109
0.6020,0.40,0.7596191512
0.6040,0.40,0.7615257119
0.6060,0.40,0.7634274730
0.6080,0.40,0.7653244143
0.6100,0.40,0.7672165157
0.6120,0.40,0.7691037566
0.6140,0.40,0.7709861167
0.6160,0.40,0.7728635750
0.6180,0.40,0.7747361109
0.6200,0.40,0.7766037032
0.6220,0.40,0.7784663309
0.6240,0.40,0.7803239726
0.6260,0.40,0.7821766068
0.6280,0.40,0.7840242119
0.6300,0.40,0.7858667662
0.6320,0.40,0.7877042477
0.6340,0.40,0.7895366342
0.6360,0.40,0.7913639036
0.6380,0.40,0.7931860333
0.6400,0.40,0.7950030007
0.6420,0.40,0.7968147831
0.6440,0.40,0.7986213574
0.6460,0.40,0.8004227007
0.6480,0.40,0.8022187894
0.6500,0.40,0.8040096003
0.6520,0.40,0.8057951095
0.6540,0.40,0.8075752932
0.6560,0.40,0.8093501275
0.6580,0.40,0.8111195880
0.6600,0.40,0.8128836503
0.6620,0.40,0.8146422899
0.6640,0.40,0.8163954818
0.6660,0.40,0.8181432012
0.6680,0.40,0.8198854228
0.6700,0.40,0.8216221212
0.6720,0.40,0.8233532708
0.6740,0.40,0.8250788457
0.6760,0.40,0.8267988199
0.6780,0.40,0.8285131673
0.6800,0.40,0.8302218612
0.6820,0.40,0.8319248752
0.6840,0.40,0.8336221821
0.6860,0.40,0.8353137550
0.6880,0.40,0.8369995664
0.6900,0.40,0.8386795889
0.6920,0.40,0.8403537945
0.6940,0.40,0.8420221552
0.6960,0.40,0.8436846427
0.6980,0.40,0.8453412286
0.7000,0.40,0.8469918840
0.7020,0.40,0.8486365799
0.7040,0.40,0.8502752869
0.7060,0.40,0.8519079757
0.7080,0.40,0.8535346163
0.7100,0.40,0.8551551788
0.7120,0.40,0.8567696327
0.7140,0.40,0.8583779475
0.7160,0.40,0.8599800924
0.7180,0.40,0.8615760361
0.7200,0.40,0.8631657472
0.7220,0.40,0.8647491940
0.7240,0.40,0.8663263445
0.7260,0.40,0.8678971664
0.7280,0.40,0.8694616271
0.7300,0.40,0.8710196937
0.7320,0.40,0.8725713329
0.7340,0.40,0.8741165112
0.7360,0.40,0.8756551947
0.7380,0.40,0.8771873494
0.7400,0.40,0.8787129406
0.7420,0.40,0.8802319335
0.7440,0.40,0.8817442930
0.7460,0.40,0.8832499836
0.7480,0.40,0.8847489693
0.7500,0.40,0.8862412140
0.7520,0.40,0.8877266810
0.7540,0.40,0.8892053335
0.7560,0.40,0.8906771340
0.7580,0.40,0.8921420450
0.7600,0.40,0.8936000282
0.7620,0.40,0.8950510453
0.7640,0.40,0.8964950573
0.7660,0.40,0.8979320250
0.7680,0.40,0.8993619087
0.7700,0.40,0.9007846683
0.7720,0.40,0.9022002632
0.7740,0.40,0.9036086524
0.7760,0.40,0.9050097946
0.7780,0.40,0.9064036479
0.7800,0.40,0.9077901700
0.7820,0.40,0.9091693180
0.7840,0.40,0.9105410488
0.7860,0.40,0.9119053186
0.7880,0.40,0.9132620832
0.7900,0.40,0.9146112978
0.7920,0.40,0.9159529171
0.7940,0.40,0.9172868956
0.7960,0.40,0.9186131867
0.7980,0.40,0.9199317437
0.8000,0.40,0.9212425193
0.8020,0.40,0.9225454654
0.8040,0.40,0.9238405335
0.8060,0.40,0.9251276746
0.8080,0.40,0.9264068390
0.8100,0.40,0.9276779762
0.8120,0.40,0.9289410354
0.8140,0.40,0.9301959650
0.8160,0.40,0.9314427128
0.8180,0.40,0.9326812260
0.8200,0.40,0.9339114508
0.8220,0.40,0.9351333332
0.8240,0.40,0.9363468180
0.8260,0.40,0.9375518497
0.8280,0.40,0.9387483719
0.8300,0.40,0.9399363272
0.8320,0.40,0.9411156578
0.8340,0.40,0.9422863050
0.8360,0.40,0.9434482091
0.8380,0.40,0.9446013098
0.8400,0.40,0.9457455458
0.8420,0.40,0.9468808550
0.8440,0.40,0.9480071744
0.8460,0.40,0.9491244400
0.8480,0.40,0.9502325871
0.8500,0.40,0.9513315497
0.8520,0.40,0.9524212610
0.8540,0.40,0.9535016533
0.8560,0.40,0.9545726575
0.8580,0.40,0.9556342037
0.8600,0.40,0.9566862210
0.8620,0.40,0.9577286370
0.8640,0.40,0.9587613785
0.8660,0.40,0.9597843708
0.8680,0.40,0.9607975382
0.8700,0.40,0.9618008036
0.8720,0.40,0.9627940886
0.8740,0.40,0.9637773136
0.8760,0.40,0.9647503973
0.8780,0.40,0.9657132573
0.8800,0.40,0.9666658095
0.8820,0.40,0.9676079683
0.8840,0.40,0.9685396467
0.8860,0.40,0.9694607557
0.8880,0.40,0.9703712050
0.8900,0.40,0.9712709023
0.8920,0.40,0.9721597536
0.8940,0.40,0.9730376630
0.8960,0.40,0.9739045326
0.8980,0.40,0.9747602625
0.9000,0.40,0.9756047507
0.9020,0.40,0.9764378932
0.9040,0.40,0.9772595834
0.9060,0.40,0.9780697125
0.9080,0.40,0.9788681694
0.9100,0.40,0.9796548401
0.9120,0.40,0.9804296083
0.9140,0.40,0.9811923546
0.9160,0.40,0.9819429568
0.9180,0.40,0.9826812897
0.9200,0.40,0.9834072247
0.9220,0.40,0.9841206301
0.9240,0.40,0.9848213705
0.9260,0.40,0.9855093069
0.9280,0.40,0.9861842962
0.9300,0.40,0.9868461915
0.9320,0.40,0.9874948412
0.9340,0.40,0.9881300893
0.9360,0.40,0.9887517749
0.9380,0.40,0.9893597321
0.9400,0.40,0.9899537891
0.9420,0.40,0.9905337686
0.9440,0.40,0.9910994870
0.9460,0.40,0.9916507539
0.9480,0.40,0.9921873718
0.9500,0.40,0.9927091356
0.9520,0.40,0.9932158318
0.9540,0.40,0.9937072380
0.9560,0.40,0.9941831219
0.9580,0.40,0.9946432408
0.9600,0.40,0.9950873405
0.9620,0.40,0.9955151538
0.9640,0.40,0.9959263997
0.9660,0.40,0.9963207818
0.9680,0.40,0.9966979863
0.9700,0.40,0.9970576801
0.9720,0.40,0.9973995082
0.9740,0.40,0.9977230907
0.9760,0.40,0.9980280195
0.9780,0.40,0.9983138529
0.9800,0.40,0.9985801107
0.9820,0.40,0.9988262662
0.9840,0.40,0.9990517367
0.9860,0.40,0.9992558700
0.9880,0.40,0.9994379259
0.9900,0.40,0.9995970483
0.9920,0.40,0.9997322231
0.9940,0.40,0.9998422045
0.9960,0.40,0.9999253764
0.9980,0.40,0.9999794242
1.0000,0.40,1.0000000000
0.0000,0.50,0.0000000000
0.0020,0.50,0.0028844275
0.0040,0.50,0.0057669268
0.0060,0.50,0.0086474932
0.0080,0.50,0.0115261222
0.0100,0.50,0.0144028089
0.0120,0.50,0.0172775487
0.0140,0.50,0.0201503369
0.0160,0.50,0.0230211688
0.0180,0.50,0.0258900396
0.0200,0.50,0.0287569445
0.0220,0.50,0.0316218788
0.0240,0.50,0.0344848377
0.0260,0.50,0.0373458163
0.0280,0.50,0.0402048098
0.0300,0.50,0.0430618134
0.0320,0.50,0.0459168221
0.0340,0.50,0.0487698312
0.0360,0.50,0.0516208356
0.0380,0.50,0.0544698304
0.0400,0.50,0.0573168107
0.0420,0.50,0.0601617716
0.0440,0.50,0.0630047080
0.0460,0.50,0.0658456149
0.0480,0.50,0.0686844873
0.0500,0.50,0.0715213202
0.0520,0.50,0.0743561085
0.0540,0.50,0.0771888470
0.0560,0.50,0.0800195308
0.0580,0.50,0.0828481547
0.0600,0.50,0.0856747135
0.0620,0.50,0.0884992020
0.0640,0.50,0.0913216152
0.0660,0.50,0.0941419477
0.0680,0.50,0.0969601945
0.0700,0.50,0.0997763501
0.0720,0.50,0.1025904094
0.0740,0.50,0.1054023670
0.0760,0.50,0.1082122177
0.0780,0.50,0.1110199561
0.0800,0.50,0.1138255770
0.0820,0.50,0.1166290748
0.0840,0.50,0.1194304443
0.0860,0.50,0.1222296800
0.0880,0.50,0.1250267764
0.0900,0.50,0.1278217282
0.0920,0.50,0.1306145299
0.0940,0.50,0.1334051759
0.0960,0.50,0.1361936607
0.0980,0.50,0.1389799788
0.1000,0.50,0.1417641247
0.1020,0.50,0.1445460927
0.1040,0.50,0.1473258772
0.1060,0.50,0.1501034726
0.1080,0.50,0.1528788733
0.1100,0.50,0.1556520736
0.1120,0.50,0.1584230677
0.1140,0.50,0.1611918499
0.1160,0.50,0.1639584146
0.1180,0.50,0.1667227559
0.1200,0.50,0.1694848681
0.1220,0.50,0.1722447452
0.1240,0.50,0.1750023816
0.1260,0.50,0.1777577712
0.1280,0.50,0.1805109083
0.1300,0.50,0.1832617870
0.1320,0.50,0.1860104012
0.1340,0.50,0.1887567450
0.1360,0.50,0.1915008125
0.1380,0.50,0.1942425977
0.1400,0.50,0.1969820944
0.1420,0.50,0.1997192966
0.1440,0.50,0.2024541983
0.1460,0.50,0.2051867934
0.1480,0.50,0.2079170757
0.1500,0.50,0.2106450390
0.1520,0.50,0.2133706772
0.1540,0.50,0.2160939841
0.1560,0.50,0.2188149533
0.1580,0.50,0.2215335787
0.1600,0.50,0.2242498540
0.1620,0.50,0.2269637728
0.1640,0.50,0.2296753289
0.1660,0.50,0.2323845157
0.1680,0.50,0.2350913270
0.1700,0.50,0.2377957564
0.1720,0.50,0.2404977972
0.1740,0.50,0.2431974432
0.1760,0.50,0.2458946878
0.1780,0.50,0.2485895243
0.1800,0.50,0.2512819464
0.1820,0.50,0.2539719474
0.1840,0.50,0.2566595206
0.1860,0.50,0.2593446595
0.1880,0.50,0.2620273574
0.1900,0.50,0.2647076075
0.1920,0.50,0.2673854031
0.1940,0.50,0.2700607375
0.1960,0.50,0.2727336038
0.1980,0.50,0.2754039953
0.2000,0.50,0.2780719051
0.2020,0.50,0.2807373263
0.2040,0.50,0.2834002521
0.2060,0.50,0.2860606754
0.2080,0.50,0.2887185893
0.2100,0.50,0.2913739869
0.2120,0.50,0.2940268610
0.2140,0.50,0.2966772046
0.2160,0.50,0.2993250107
0.2180,0.50,0.3019702720
0.2200,0.50,0.3046129815
0.2220,0.50,0.3072531319
0.2240,0.50,0.3098907161
0.2260,0.50,0.3125257268
0.2280,0.50,0.3151581567
0.2300,0.50,0.3177879984
0.2320,0.50,0.3204152447
0.2340,0.50,0.3230398882
0.2360,0.50,0.3256619214
0.2380,0.50,0.3282813369
0.2400,0.50,0.3308981273
0.2420,0.50,0.3335122849
0.2440,0.50,0.3361238023
0.2460,0.50,0.3387326719
0.2480,0.50,0.3413388860
0.2500,0.50,0.3439424370
0.2520,0.50,0.3465433173
0.2540,0.50,0.3491415190
0.2560,0.50,0.3517370345
0.2580,0.50,0.3543298560
0.2600,0.50,0.3569199755
0.2620,0.50,0.3595073854
0.2640,0.50,0.3620920775
0.2660,0.50,0.3646740442
0.2680,0.50,0.3672532772
0.2700,0.50,0.3698297687
0.2720,0.50,0.3724035107
0.2740,0.50,0.3749744949
0.2760,0.50,0.3775427133
0.2780,0.50,0.3801081577
0.2800,0.50,0.3826708200
0.2820,0.50,0.3852306919
0.2840,0.50,0.3877877651
0.2860,0.50,0.3903420314
0.2880,0.50,0.3928934823
0.2900,0.50,0.3954421094
0.2920,0.50,0.3979879044
0.2940,0.50,0.4005308588
0.2960,0.50,0.4030709640
0.2980,0.50,0.4056082116
0.3000,0.50,0.4081425928
0.3020,0.50,0.4106740992
0.3040,0.50,0.4132027219
0.3060,0.50,0.4157284524
0.3080,0.50,0.4182512817
0.3100,0.50,0.4207712012
0.3120,0.50,0.4232882020
0.3140,0.50,0.4258022752
0.3160,0.50,0.4283134119
0.3180,0.50,0.4308216031
0.3200,0.50,0.4333268398
0.3220,0.50,0.4358291130
0.3240,0.50,0.4383284134
0.3260,0.50,0.4408247321
0.3280,0.50,0.4433180597
0.3300,0.50,0.4458083872
0.3320,0.50,0.4482957051
0.3340,0.50,0.4507800041
0.3360,0.50,0.4532612749
0.3380,0.50,0.4557395081
0.3400,0.50,0.4582146941
0.3420,0.50,0.4606868236
0.3440,0.50,0.4631558868
0.3460,0.50,0.4656218743
0.3480,0.50,0.4680847763
0.3500,0.50,0.4705445831
0.3520,0.50,0.4730012850
0.3540,0.50,0.4754548722
0.3560,0.50,0.4779053349
0.3580,0.50,0.4803526631
0.3600,0.50,0.4827968468
0.3620,0.50,0.4852378761
0.3640,0.50,0.4876757410
0.3660,0.50,0.4901104312
0.3680,0.50,0.4925419368
0.3700,0.50,0.4949702473
0.3720,0.50,0.4973953527
0.3740,0.50,0.4998172425
0.3760,0.50,0.5022359065
0.3780,0.50,0.5046513341
0.3800,0.50,0.5070635149
0.3820,0.50,0.5094724385
0.3840,0.50,0.5118780941
0.3860,0.50,0.5142804712
0.3880,0.50,0.5166795591
0.3900,0.50,0.5190753469
0.3920,0.50,0.5214678240
0.3940,0.50,0.5238569795
0.3960,0.50,0.5262428024
0.3980,0.50,0.5286252817
0.4000,0.50,0.5310044064
0.4020,0.50,0.5333801655
0.4040,0.50,0.5357525477
0.4060,0.50,0.5381215419
0.4080,0.50,0.5404871367
0.4100,0.50,0.5428493209
0.4120,0.50,0.5452080831
0.4140,0.50,0.5475634117
0.4160,0.50,0.5499152953
0.4180,0.50,0.5522637224
0.4200,0.50,0.5546086811
0.4220,0.50,0.5569501600
0.4240,0.50,0.5592881471
0.4260,0.50,0.5616226306
0.4280,0.50,0.5639535987
0.4300,0.50,0.5662810394
0.4320,0.50,0.5686049407
0.4340,0.50,0.5709252904
0.4360,0.50,0.5732420764
0.4380,0.50,0.5755552864
0.4400,0.50,0.5778649083
0.4420,0.50,0.5801709295
0.4440,0.50,0.5824733377
0.4460,0.50,0.5847721203
0.4480,0.50,0.5870672649
0.4500,0.50,0.5893587587
0.4520,0.50,0.5916465890
0.4540,0.50,0.5939307430
0.4560,0.50,0.5962112079
0.4580,0.50,0.5984879708
0.4600,0.50,0.6007610185
0.4620,0.50,0.6030303382
0.4640,0.50,0.6052959165
0.4660,0.50,0.6075577403
0.4680,0.50,0.6098157962
0.4700,0.50,0.6120700708
0.4720,0.50,0.6143205508
0.4740,0.50,0.6165672226
0.4760,0.50,0.6188100724
0.4780,0.50,0.6210490867
0.4800,0.50,0.6232842517
0.4820,0.50,0.6255155535
0.4840,0.50,0.6277429781
0.4860,0.50,0.6299665115
0.4880,0.50,0.6321861397
0.4900,0.50,0.6344018484
0.4920,0.50,0.6366136234
0.4940,0.50,0.6388214502
0.4960,0.50,0.6410253146
0.4980,0.50,0.6432252018
0.5000,0.50,0.6454210973
0.5020,0.50,0.6476129865
0.5040,0.50,0.6498008544
0.5060,0.50,0.6519846862
0.5080,0.50,0.6541644670
0.5100,0.50,0.6563401817
0.5120,0.50,0.6585118150
0.5140,0.50,0.6606793518
0.5160,0.50,0.6628427767
0.5180,0.50,0.6650020743
0.5200,0.50,0.6671572290
0.5220,0.50,0.6693082252
0.5240,0.50,0.6714550472
0.5260,0.50,0.6735976791
0.5280,0.50,0.6757361050
0.5300,0.50,0.6778703089
0.5320,0.50,0.6800002747
0.5340,0.50,0.6821259860
0.5360,0.50,0.6842474267
0.5380,0.50,0.6863645802
0.5400,0.50,0.6884774301
0.5420,0.50,0.6905859596
0.5440,0.50,0.6926901520
0.5460,0.50,0.6947899905
0.5480,0.50,0.6968854580
0.5500,0.50,0.6989765376
0.5520,0.50,0.7010632119
0.5540,0.50,0.7031454638
0.5560,0.50,0.7052232758
0.5580,0.50,0.7072966303
0.5600,0.50,0.7093655098
0.5620,0.50,0.7114298964
0.5640,0.50,0.7134897723
0.5660,0.50,0.7155451194
0.5680,0.50,0.7175959198
0.5700,0.50,0.7196421550
0.5720,0.50,0.7216838069
0.5740,0.50,0.7237208568
0.5760,0.50,0.7257532862
0.5780,0.50,0.7277810763
0.5800,0.50,0.7298042083
0.5820,0.50,0.7318226632
0.5840,0.50,0.7338364218
0.5860,0.50,0.7358454650
0.5880,0.50,0.7378497733
0.5900,0.50,0.7398493272
0.5920,0.50,0.7418441071
0.5940,0.50,0.7438340932
0.5960,0.50,0.7458192655
0.5980,0.50,0.7477996039
0.6000,0.50,0.7497750884
0.6020,0.50,0.7517456984
0.6040,0.50,0.7537114136
0.6060,0.50,0.7556722133
0.6080,0.50,0.7576280766
0.6100,0.50,0.7595789827
0.6120,0.50,0.7615249105
0.6140,0.50,0.7634658387
0.6160,0.50,0.7654017459
0.6180,0.50,0.7673326106
0.6200,0.50,0.7692584110
0.6220,0.50,0.7711791254
0.6240,0.50,0.7730947317
0.6260,0.50,0.7750052077
0.6280,0.50,0.7769105310
0.6300,0.50,0.7788106791
0.6320,0.50,0.7807056294
0.6340,0.50,0.7825953589
0.6360,0.50,0.7844798447
0.6380,0.50,0.7863590636
0.6400,0.50,0.7882329921
0.6420,0.50,0.7901016067
0.6440,0.50,0.7919648837
0.6460,0.50,0.7938227992
0.6480,0.50,0.7956753290
0.6500,0.50,0.7975224489
0.6520,0.50,0.7993641344
0.6540,0.50,0.8012003607
0.6560,0.50,0.8030311032
0.6580,0.50,0.8048563366
0.6600,0.50,0.8066760357
0.6620,0.50,0.8084901751
0.6640,0.50,0.8102987292
0.6660,0.50,0.8121016719
0.6680,0.50,0.8138989774
0.6700,0.50,0.8156906193
0.6720,0.50,0.8174765710
0.6740,0.50,0.8192568059
0.6760,0.50,0.8210312971
0.6780,0.50,0.8228000173
0.6800,0.50,0.8245629393
0.6820,0.50,0.8263200354
0.6840,0.50,0.8280712777
0.6860,0.50,0.8298166383
0.6880,0.50,0.8315560887
0.6900,0.50,0.8332896005
0.6920,0.50,0.8350171448
0.6940,0.50,0.8367386927
0.6960,0.50,0.8384542148
0.6980,0.50,0.8401636817
0.7000,0.50,0.8418670634
0.7020,0.50,0.8435643301
0.7040,0.50,0.8452554513
0.7060,0.50,0.8469403964
0.7080,0.50,0.8486191347
0.7100,0.50,0.8502916350
0.7120,0.50,0.8519578659
0.7140,0.50,0.8536177957
0.7160,0.50,0.8552713925
0.7180,0.50,0.8569186239
0.7200,0.50,0.8585594575
0.7220,0.50,0.8601938603
0.7240,0.50,0.8618217993
0.7260,0.50,0.8634432409
0.7280,0.50,0.8650581514
0.7300,0.50,0.8666664967
0.7320,0.50,0.8682682423
0.7340,0.50,0.8698633536
0.7360,0.50,0.8714517955
0.7380,0.50,0.8730335325
0.7400,0.50,0.8746085289
0.7420,0.50,0.8761767486
0.7440,0.50,0.8777381552
0.7460,0.50,0.8792927118
0.7480,0.50,0.8808403814
0.7500,0.50,0.8823811262
0.7520,0.50,0.8839149085
0.7540,0.50,0.8854416900
0.7560,0.50,0.8869614318
0.7580,0.50,0.8884740951
0.7600,0.50,0.8899796402
0.7620,0.50,0.8914780274
0.7640,0.50,0.8929692163
0.7660,0.50,0.8944531661
0.7680,0.50,0.8959298358
0.7700,0.50,0.8973991837
0.7720,0.50,0.8988611679
0.7740,0.50,0.9003157457
0.7760,0.50,0.9017628744
0.7780,0.50,0.9032025105
0.7800,0.50,0.9046346100
0.7820,0.50,0.9060591287
0.7840,0.50,0.9074760217
0.7860,0.50,0.9088852435
0.7880,0.50,0.9102867484
0.7900,0.50,0.9116804899
0.7920,0.50,0.9130664211
0.7940,0.50,0.9144444945
0.7960,0.50,0.9158146621
0.7980,0.50,0.9171768753
0.8000,0.50,0.9185310850
0.8020,0.50,0.9198772413
0.8040,0.50,0.9212152940
0.8060,0.50,0.9225451920
0.8080,0.50,0.9238668839
0.8100,0.50,0.9251803173
0.8120,0.50,0.9264854395
0.8140,0.50,0.9277821968
0.8160,0.50,0.9290705352
0.8180,0.50,0.9303503997
0.8200,0.50,0.9316217347
0.8220,0.50,0.9328844838
0.8240,0.50,0.9341385901
0.8260,0.50,0.9353839958
0.8280,0.50,0.9366206421
0.8300,0.50,0.9378484699
0.8320,0.50,0.9390674188
0.8340,0.50,0.9402774279
0.8360,0.50,0.9414784354
0.8380,0.50,0.9426703785
0.8400,0.50,0.9438531936
0.8420,0.50,0.9450268162
0.8440,0.50,0.9461911808
0.8460,0.50,0.9473462212
0.8480,0.50,0.9484918698
0.8500,0.50,0.9496280583
0.8520,0.50,0.9507547172
0.8540,0.50,0.9518717762
0.8560,0.50,0.9529791636
0.8580,0.50,0.9540768067
0.8600,0.50,0.9551646318
0.8620,0.50,0.9562425638
0.8640,0.50,0.9573105264
0.8660,0.50,0.9583684423
0.8680,0.50,0.9594162325
0.8700,0.50,0.9604538172
0.8720,0.50,0.9614811147
0.8740,0.50,0.9624980422
0.8760,0.50,0.9635045155
0.8780,0.50,0.9645004487
0.8800,0.50,0.9654857544
0.8820,0.50,0.9664603438
0.8840,0.50,0.9674241262
0.8860,0.50,0.9683770094
0.8880,0.50,0.9693188992
0.8900,0.50,0.9702496997
0.8920,0.50,0.9711693133
0.8940,0.50,0.9720776402
0.8960,0.50,0.9729745786
0.8980,0.50,0.9738600246
0.9000,0.50,0.9747338723
0.9020,0.50,0.9755960132
0.9040,0.50,0.9764463367
0.9060,0.50,0.9772847296
0.9080,0.50,0.9781110762
0.9100,0.50,0.9789252581
0.9120,0.50,0.9797271542
0.9140,0.50,0.9805166403
0.9160,0.50,0.9812935894
0.9180,0.50,0.9820578711
0.9200,0.50,0.9828093517
0.9220,0.50,0.9835478942
0.9240,0.50,0.9842733576
0.9260,0.50,0.9849855973
0.9280,0.50,0.9856844645
0.9300,0.50,0.9863698062
0.9320,0.50,0.9870414647
0.9340,0.50,0.9876992776
0.9360,0.50,0.9883430777
0.9380,0.50,0.9889726919
0.9400,0.50,0.9895879417
0.9420,0.50,0.9901886425
0.9440,0.50,0.9907746031
0.9460,0.50,0.9913456254
0.9480,0.50,0.9919015039
0.9500,0.50,0.9924420249
0.9520,0.50,0.9929669662
0.9540,0.50,0.9934760962
0.9560,0.50,0.9939691732
0.9580,0.50,0.9944459444
0.9600,0.50,0.9949061451
0.9620,0.50,0.9953494972
0.9640,0.50,0.9957757082
0.9660,0.50,0.9961844692
0.9680,0.50,0.9965754535
0.9700,0.50,0.9969483143
0.9720,0.50,0.9973026818
0.9740,0.50,0.9976381607
0.9760,0.50,0.9979543255
0.9780,0.50,0.9982507166
0.9800,0.50,0.9985268336
0.9820,0.50,0.9987821280
0.9840,0.50,0.9990159930
0.9860,0.50,0.9992277492
0.9880,0.50,0.9994166256
0.9900,0.50,0.9995817307
0.9920,0.50,0.9997220079
0.9940,0.50,0.9998361597
0.9960,0.50,0.9999225027
0.9980,0.50,0.9999786257
1.0000,0.50,1.0000000000
