# Source Data for Fig. 6b: Holevo quantity vs input-state amplitude
# Recomputed from the closed forms in the paper, not from the co-author's code.
alpha_sq,gamma,chi_bits
0.9740,0.10,0.9990601362
0.9760,0.10,0.9991872022
0.9780,0.10,0.9993060922
0.9800,0.10,0.9994166256
0.9820,0.10,0.9995186045
0.9840,0.10,0.9996118098
0.9860,0.10,0.9996959966
0.9880,0.10,0.9997708870
0.9900,0.10,0.9998361597
0.9920,0.10,0.9998914338
0.9940,0.10,0.9999362422
0.9960,0.10,0.9999699786
0.9980,0.10,0.9999917746
1.0000,0.10,1.0000000000
0.0000,0.20,0.2780719051
0.0020,0.20,0.2802044415
0.0040,0.20,0.2823353817
0.0060,0.20,0.2844647221
0.0080,0.20,0.2865924592
0.0100,0.20,0.2887185893
0.0120,0.20,0.2908431090
0.0140,0.20,0.2929660146
0.0160,0.20,0.2950873025
0.0180,0.20,0.2972069690
0.0200,0.20,0.2993250107
0.0220,0.20,0.3014414236
0.0240,0.20,0.3035562044
0.0260,0.20,0.3056693492
0.0280,0.20,0.3077808543
0.0300,0.20,0.3098907161
0.0320,0.20,0.3119989309
0.0340,0.20,0.3141054949
0.0360,0.20,0.3162104044
0.0380,0.20,0.3183136556
0.0400,0.20,0.3204152447
0.0420,0.20,0.3225151681
0.0440,0.20,0.3246134218
0.0460,0.20,0.3267100022
0.0480,0.20,0.3288049053
0.0500,0.20,0.3308981273
0.0520,0.20,0.3329896644
0.0540,0.20,0.3350795127
0.0560,0.20,0.3371676683
0.0580,0.20,0.3392541274
0.0600,0.20,0.3413388860
0.0620,0.20,0.3434219402
0.0640,0.20,0.3455032862
0.0660,0.20,0.3475829198
0.0680,0.20,0.3496608373
0.0700,0.20,0.3517370345
0.0720,0.20,0.3538115076
0.0740,0.20,0.3558842524
0.0760,0.20,0.3579552651
0.0780,0.20,0.3600245415
0.0800,0.20,0.3620920775
0.0820,0.20,0.3641578693
0.0840,0.20,0.3662219125
0.0860,0.20,0.3682842033
0.0880,0.20,0.3703447374
0.0900,0.20,0.3724035107
0.0920,0.20,0.3744605190
0.0940,0.20,0.3765157583
0.0960,0.20,0.3785692244
0.0980,0.20,0.3806209130
0.1000,0.20,0.3826708200
0.1020,0.20,0.3847189412
0.1040,0.20,0.3867652722
0.1060,0.20,0.3888098089
0.1080,0.20,0.3908525470
0.1100,0.20,0.3928934823
0.1120,0.20,0.3949326103
0.1140,0.20,0.3969699268
0.1160,0.20,0.3990054275
0.1180,0.20,0.4010391081
0.1200,0.20,0.4030709640
0.1220,0.20,0.4051009911
0.1240,0.20,0.4071291848
0.1260,0.20,0.4091555408
0.1280,0.20,0.4111800547
0.1300,0.20,0.4132027219
0.1320,0.20,0.4152235381
0.1340,0.20,0.4172424987
0.1360,0.20,0.4192595992
0.1380,0.20,0.4212748352
0.1400,0.20,0.4232882020
0.1420,0.20,0.4252996952
0.1440,0.20,0.4273093102
0.1460,0.20,0.4293170424
0.1480,0.20,0.4313228871
0.1500,0.20,0.4333268398
0.1520,0.20,0.4353288959
0.1540,0.20,0.4373290506
0.1560,0.20,0.4393272992
0.1580,0.20,0.4413236372
0.1600,0.20,0.4433180597
0.1620,0.20,0.4453105621
0.1640,0.20,0.4473011396
0.1660,0.20,0.4492897875
0.1680,0.20,0.4512765008
0.1700,0.20,0.4532612749
0.1720,0.20,0.4552441049
0.1740,0.20,0.4572249860
0.1760,0.20,0.4592039132
0.1780,0.20,0.4611808818
